Line ID,Utility ID,Source Substation ID,Source Substation,Destination Substation ID,Destination Substation,Voltage (kV),Length (km),Capacity (MVA),Status,Line Type,Region_src,Country_src,Latitude_src,Longitude_src,Voltage (kV)_src,Capacity (MVA)_src,Commissioning Year_src,Type_src,Status_src,Region_dst,Country_dst,Latitude_dst,Longitude_dst,Voltage (kV)_dst,Capacity (MVA)_dst,Commissioning Year_dst,Type_dst,Status_dst,Utility Name,Alias,Code,Utility Type,Utility Country,Inter-regional,Cross-border
18,3,12,Takoradi Substation,14,Tarkwa Substation,33,66.2,133.8,Active,Overhead,Western,Ghana,4.9048,-1.7562,33,14.0,2000,Distribution,Active,Western,Ghana,5.3093,-1.9927,69,169.4,2010,Bulk Supply Point,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,False,False
19,1,13,Aboadze Substation,14,Tarkwa Substation,33,55.8,247.0,Active,Overhead,Western,Ghana,4.9905,-1.7714,33,42.7,1967,Distribution,Active,Western,Ghana,5.3093,-1.9927,69,169.4,2010,Bulk Supply Point,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,False,False
20,2,13,Aboadze Substation,15,Axim Substation,33,66.4,135.3,Active,Overhead,Western,Ghana,4.9905,-1.7714,33,42.7,1967,Distribution,Active,Western,Ghana,4.8747,-2.2381,69,96.9,1974,Bulk Supply Point,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,False,False
21,3,14,Tarkwa Substation,15,Axim Substation,69,59.7,264.2,Active,Overhead,Western,Ghana,5.3093,-1.9927,69,169.4,2010,Bulk Supply Point,Active,Western,Ghana,4.8747,-2.2381,69,96.9,1974,Bulk Supply Point,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,False,False
22,2,16,Cape Coast Substation,17,Winneba Substation,69,84.4,249.8,Active,Overhead,Central,Ghana,5.1068,-1.2411,69,68.8,1992,Bulk Supply Point,Active,Central,Ghana,5.362,-0.6218,330,168.8,1970,Transmission,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,False,False
23,1,16,Cape Coast Substation,18,Kasoa Substation,11,118.3,98.0,Under Maintenance,Underground,Central,Ghana,5.1068,-1.2411,69,68.8,1992,Bulk Supply Point,Active,Central,Ghana,5.5262,-0.4124,11,52.4,2003,Distribution,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,False,False
24,3,16,Cape Coast Substation,19,Assin Fosu Substation,11,82.4,294.7,Active,Overhead,Central,Ghana,5.1068,-1.2411,69,68.8,1992,Bulk Supply Point,Active,Central,Ghana,5.6984,-1.497,11,26.2,2000,Distribution,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,False,False
25,2,17,Winneba Substation,18,Kasoa Substation,11,32.3,289.5,Active,Overhead,Central,Ghana,5.362,-0.6218,330,168.8,1970,Transmission,Active,Central,Ghana,5.5262,-0.4124,11,52.4,2003,Distribution,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,False,False
26,2,18,Kasoa Substation,19,Assin Fosu Substation,11,140.9,295.6,Active,Overhead,Central,Ghana,5.5262,-0.4124,11,52.4,2003,Distribution,Active,Central,Ghana,5.6984,-1.497,11,26.2,2000,Distribution,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,False,False
27,3,20,Koforidua Substation,21,Akosombo Substation,11,48.0,165.6,Active,Overhead,Eastern,Ghana,6.1017,-0.254,11,42.4,2014,Distribution,Active,Eastern,Ghana,6.2991,0.0641,69,57.9,2021,Bulk Supply Point,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,False,False
28,1,20,Koforidua Substation,22,Nkawkaw Substation,11,98.0,277.8,Active,Overhead,Eastern,Ghana,6.1017,-0.254,11,42.4,2014,Distribution,Active,Eastern,Ghana,6.5502,-0.7749,69,389.2,2005,Bulk Supply Point,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,False,False
29,2,21,Akosombo Substation,22,Nkawkaw Substation,69,117.8,111.3,Active,Overhead,Eastern,Ghana,6.2991,0.0641,69,57.9,2021,Bulk Supply Point,Active,Eastern,Ghana,6.5502,-0.7749,69,389.2,2005,Bulk Supply Point,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,False,False
30,3,21,Akosombo Substation,23,Suhum Substation,69,82.7,209.6,Active,Underground,Eastern,Ghana,6.2991,0.0641,69,57.9,2021,Bulk Supply Point,Active,Eastern,Ghana,6.035,-0.4535,69,339.0,1975,Bulk Supply Point,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,False,False
31,1,22,Nkawkaw Substation,23,Suhum Substation,69,75.9,78.9,Active,Underground,Eastern,Ghana,6.5502,-0.7749,69,389.2,2005,Bulk Supply Point,Active,Eastern,Ghana,6.035,-0.4535,69,339.0,1975,Bulk Supply Point,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,False,False
32,2,24,Ho Substation,25,Kpong Substation,11,79.5,163.1,Active,Overhead,Volta,Ghana,6.6194,0.473,330,382.1,1996,Transmission,Active,Volta,Ghana,6.1597,0.1061,11,11.2,1980,Distribution,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,False,False
33,3,24,Ho Substation,27,Sogakope Substation,11,84.4,113.9,Active,Overhead,Volta,Ghana,6.6194,0.473,330,382.1,1996,Transmission,Active,Volta,Ghana,5.9995,0.5762,11,58.8,2000,Distribution,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,False,False
34,1,25,Kpong Substation,27,Sogakope Substation,11,59.7,32.9,Active,Overhead,Volta,Ghana,6.1597,0.1061,11,11.2,1980,Distribution,Active,Volta,Ghana,5.9995,0.5762,11,58.8,2000,Distribution,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,False,False
35,3,26,Hohoe Substation,27,Sogakope Substation,11,152.5,221.1,Active,Underground,Volta,Ghana,7.1436,0.4766,11,18.2,2017,Distribution,Active,Volta,Ghana,5.9995,0.5762,11,58.8,2000,Distribution,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,False,False
36,3,28,Sunyani Substation,29,Techiman Substation,33,63.1,269.9,Active,Overhead,Bono,Ghana,7.3375,-2.3318,33,19.6,1999,Distribution,Active,Bono,Ghana,7.5934,-1.9405,33,44.2,2022,Distribution,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,False,False
37,3,29,Techiman Substation,30,Berekum Substation,33,87.3,34.1,Active,Overhead,Bono,Ghana,7.5934,-1.9405,33,44.2,2022,Distribution,Active,Bono,Ghana,7.4443,-2.5946,330,188.8,2000,Transmission,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,False,False
38,2,31,Tamale Substation,32,Yendi Substation,11,112.6,296.6,Active,Underground,Northern,Ghana,9.4072,-0.8508,33,37.4,1969,Distribution,Inactive,Northern,Ghana,9.4368,-0.0076,11,52.3,1978,Distribution,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,False,False
39,3,34,Bolgatanga Substation,35,Bawku Substation,161,86.6,64.6,Active,Underground,Upper East,Ghana,10.7789,-0.8524,161,325.9,1992,Transmission,Active,Upper East,Ghana,11.0615,-0.2333,161,194.8,1971,Transmission,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,False,False
40,3,1,Achimota Substation,7,Kumasi Central Substation,330,225.4,303.7,Active,Overhead,Greater Accra,Ghana,5.6085,-0.2193,11,6.4,2008,Distribution,Active,Ashanti,Ghana,6.6856,-1.623,161,221.4,2018,Transmission,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,True,False
41,3,7,Kumasi Central Substation,12,Takoradi Substation,330,228.3,298.9,Active,Overhead,Ashanti,Ghana,6.6856,-1.623,161,221.4,2018,Transmission,Active,Western,Ghana,4.9048,-1.7562,33,14.0,2000,Distribution,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,True,False
42,3,12,Takoradi Substation,16,Cape Coast Substation,330,70.5,455.1,Active,Overhead,Western,Ghana,4.9048,-1.7562,33,14.0,2000,Distribution,Active,Central,Ghana,5.1068,-1.2411,69,68.8,1992,Bulk Supply Point,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,True,False
43,3,16,Cape Coast Substation,20,Koforidua Substation,330,178.8,506.3,Active,Overhead,Central,Ghana,5.1068,-1.2411,69,68.8,1992,Bulk Supply Point,Active,Eastern,Ghana,6.1017,-0.254,11,42.4,2014,Distribution,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,True,False
44,3,20,Koforidua Substation,24,Ho Substation,330,113.7,408.5,Active,Overhead,Eastern,Ghana,6.1017,-0.254,11,42.4,2014,Distribution,Active,Volta,Ghana,6.6194,0.473,330,382.1,1996,Transmission,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,True,False
45,3,24,Ho Substation,28,Sunyani Substation,330,367.7,450.7,Active,Overhead,Volta,Ghana,6.6194,0.473,330,382.1,1996,Transmission,Active,Bono,Ghana,7.3375,-2.3318,33,19.6,1999,Distribution,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,True,False
46,3,28,Sunyani Substation,31,Tamale Substation,330,324.3,309.8,Active,Overhead,Bono,Ghana,7.3375,-2.3318,33,19.6,1999,Distribution,Active,Northern,Ghana,9.4072,-0.8508,33,37.4,1969,Distribution,Inactive,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,True,False
47,3,31,Tamale Substation,34,Bolgatanga Substation,330,175.4,231.0,Active,Overhead,Northern,Ghana,9.4072,-0.8508,33,37.4,1969,Distribution,Inactive,Upper East,Ghana,10.7789,-0.8524,161,325.9,1992,Transmission,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,True,False
48,3,34,Bolgatanga Substation,36,Wa Substation,330,227.0,314.3,Active,Overhead,Upper East,Ghana,10.7789,-0.8524,161,325.9,1992,Transmission,Active,Upper West,Ghana,10.0682,-2.506,11,27.1,1977,Distribution,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,True,False
49,9,34,Bolgatanga Substation,37,Bolgatanga Interconnection,330,53.0,217.9,Active,Overhead,Upper East,Ghana,10.7789,-0.8524,161,325.9,1992,Transmission,Active,Burkina Faso border,Burkina,11.2,-0.75,330,156.1,1991,Transmission,Active,Sonabel,SONABEL,SNB,Distribution,Burkina Faso,True,True
50,9,37,Bolgatanga Interconnection,43,Bobo-Dioulasso Hub,330,426.0,229.9,Active,Overhead,Burkina Faso border,Burkina,11.2,-0.75,330,156.1,1991,Transmission,Active,Burkina Faso,Burkina,11.18,-4.3,161,445.9,1983,Transmission,Active,Sonabel,SONABEL,SNB,Distribution,Burkina Faso,True,False
51,5,38,Elubo Border Station,7,Kumasi Central Substation,330,235.2,285.0,Active,Overhead,Cote d'Ivoire border,Cote,5.2,-2.85,330,285.1,1984,Transmission,Active,Ashanti,Ghana,6.6856,-1.623,161,221.4,2018,Transmission,Active,Compagnie Ivoirienne d'Electricite,CIE,CIE,Distribution,Cote d'Ivoire,True,True
52,5,38,Elubo Border Station,42,Abidjan Transmission Hub,330,141.3,184.6,Active,Overhead,Cote d'Ivoire border,Cote,5.2,-2.85,330,285.1,1984,Transmission,Active,Cote d'Ivoire,Cote,5.35,-4.0,161,262.6,2010,Transmission,Active,Compagnie Ivoirienne d'Electricite,CIE,CIE,Distribution,Cote d'Ivoire,True,False
53,6,39,Aflao Border Station,2,Tema Substation,330,157.9,207.8,Active,Overhead,Togo border,Togo,6.12,1.19,330,423.2,2015,Transmission,Active,Greater Accra,Ghana,5.6596,-0.0226,330,48.5,1997,Transmission,Active,Communaute Electrique du Benin,CEB,CEB,Transmission,Togo/Benin,True,True
54,6,39,Aflao Border Station,40,Lome Transmission Hub,330,3.8,323.5,Active,Overhead,Togo border,Togo,6.12,1.19,330,423.2,2015,Transmission,Active,Togo,Togo,6.13,1.22,161,120.2,2014,Transmission,Active,Communaute Electrique du Benin,CEB,CEB,Transmission,Togo/Benin,True,False
55,6,40,Lome Transmission Hub,41,Cotonou Transmission Hub,330,150.0,326.6,Active,Overhead,Togo,Togo,6.13,1.22,161,120.2,2014,Transmission,Active,Benin,Benin,6.37,2.43,161,487.6,1995,Transmission,Active,Communaute Electrique du Benin,CEB,CEB,Transmission,Togo/Benin,True,True
